Date,Drawdown,DD_log,Cluster,Regime_num
1999-05-31,-0.06299542303293781,0.06109079364305099,Correction,1
1999-06-30,-0.054052502835834376,0.05264226181577169,Normal,0
1999-07-31,-0.06347711183838861,0.06154383388296987,Correction,1
1999-08-31,-0.09680850642788226,0.0924046049141221,Correction,1
1999-09-30,-0.10601363923499003,0.10076223506297392,Correction,1
1999-10-31,-0.09725066839675947,0.09280765874232927,Correction,1
1999-11-30,-0.025285211102304545,0.024970828618658528,Normal,0
1999-12-31,-0.021021421793327208,0.02080352015079786,Normal,0
2000-01-31,-0.07424874311404628,0.07162157365975914,Correction,1
2000-02-29,-0.09248937529245363,0.0884589228075532,Correction,1
2000-03-31,-0.07733878161157903,0.07449390916691741,Correction,1
2000-04-30,-0.1118850292081357,0.1060567994832948,Correction,1
2000-05-31,-0.1005590846987985,0.09581830950165082,Correction,1
2000-06-30,-0.05406008798361288,0.05264945796631087,Normal,0
2000-07-31,-0.05998052034219675,0.058250530919452544,Correction,1
2000-08-31,-0.04792485558756011,0.04681188064446426,Normal,0
2000-09-30,-0.0619423529083135,0.06009963971585614,Correction,1
2000-10-31,-0.1255876876723571,0.1183052883008227,Correction,1
2000-11-30,-0.13533937789148115,0.12693161759651234,Correction,1
2000-12-31,-0.13272397372511283,0.12462532811498117,Correction,1
2001-01-31,-0.10653215713131542,0.10123094211226488,Correction,1
2001-02-28,-0.10162296386587726,0.09678451413540273,Correction,1
2001-03-31,-0.18646315364439953,0.17097674175020217,Bear,2
2001-04-30,-0.19689457485411774,0.17973034822263056,Bear,2
2001-05-31,-0.0780693474645293,0.07517180016219745,Correction,1
2001-06-30,-0.07952279109892667,0.07651908339360491,Correction,1
2001-07-31,-0.10753862751951403,0.10214010045038348,Correction,1
2001-08-31,-0.1203985162156366,0.11368444006844876,Correction,1
2001-09-30,-0.21926537759852344,0.19824852787093286,Bear,2
2001-10-31,-0.160238313093895,0.14862542634021253,Bear,2
2001-11-30,-0.11193940152698137,0.10610569931378955,Correction,1
2001-12-31,-0.04355105034082374,0.042629368562541826,Normal,0
2002-01-31,-0.06129584781246662,0.0594906594181133,Correction,1
2002-02-28,-0.07875409595758631,0.07580676035622859,Correction,1
2002-03-31,-0.034737426656930276,0.0341477004802778,Normal,0
2002-04-30,-0.08958470498015232,0.08579661903499144,Correction,1
2002-05-31,-0.10322231651642179,0.09823527618686219,Correction,1
2002-06-30,-0.15152649328644674,0.1410884476443671,Bear,2
2002-07-31,-0.2791367743736063,0.24618545540429182,Bear,2
2002-08-31,-0.2457911228507747,0.21977076815091723,Bear,2
2002-09-30,-0.17567717344590944,0.16184429941508865,Bear,2
2002-10-31,-0.1931442817946276,0.17659207611711034,Bear,2
2002-11-30,-0.0898618558935063,0.08605095049677028,Correction,1
2002-12-31,-0.067602512630306,0.06541549207703422,Correction,1
2003-01-31,-0.10039729702285319,0.09567129370653528,Correction,1
2003-02-28,-0.1294108882293492,0.12169615893028828,Correction,1
2003-03-31,-0.14053409661238037,0.13149665849216188,Correction,1
2003-04-30,-0.07854796254558917,0.07561565738869376,Correction,1
2003-05-31,-0.028457649368568805,0.02806025217855308,Normal,0
2003-06-30,-0.03673168271057253,0.03607315199750606,Normal,0
2003-07-31,-0.03248125479297573,0.03196489052405562,Normal,0
2003-08-31,-0.04566746970157593,0.04465540850466562,Normal,0
2003-09-30,-0.04194962118841428,0.04109359397466165,Normal,0
2003-10-31,-0.020546746045995188,0.020338509221098797,Normal,0
2003-11-30,-0.023956105313681347,0.023673659793938838,Normal,0
2003-12-31,-0.010344584102318585,0.01029144504563934,Normal,0
2004-01-31,-0.02327394234061798,0.023007234446096772,Normal,0
2004-02-29,-0.02497033479133348,0.02466367050456165,Normal,0
2004-03-31,-0.05737808626192357,0.05579234043378476,Normal,0
2004-04-30,-0.04358412841337907,0.04266106566859879,Normal,0
2004-05-31,-0.06289439576692912,0.06099574895617087,Correction,1
2004-06-30,-0.03476649829054499,0.03417579574819797,Normal,0
2004-07-31,-0.05243615652348343,0.05110762584952348,Normal,0
2004-08-31,-0.0706519535559648,0.0682677653132331,Correction,1
2004-09-30,-0.033346172805783954,0.032802248041717476,Normal,0
2004-10-31,-0.04137296789092908,0.04054000393994034,Normal,0
2004-11-30,-0.011679131891330552,0.011611457241575496,Normal,0
2004-12-31,-0.012003029190539917,0.011931564132078477,Normal,0
2005-01-31,-0.04103666665929011,0.04021701154787402,Normal,0
2005-02-28,-0.024218213889751164,0.02392960341655255,Normal,0
