Date,Last Price
1999-07-30,1857.452
1999-06-30,1916.375
1999-05-31,1845.494
1999-04-30,1878.691
1999-03-31,1729.583
1999-02-26,1678.708
1999-01-29,1715.645
1998-12-31,1681.675
1998-11-30,1624.614
1998-10-30,1544.179
1998-09-30,1432.008
1998-08-31,1349.987
1998-07-31,1608.654
1998-06-30,1644.371
1998-05-29,1631.978
1998-04-30,1655.264
1998-03-31,1635.901
1998-02-27,1557.035
1998-01-30,1448.393
1997-12-31,1466.471
1997-11-28,1434.619
1997-10-31,1381.941
1997-09-30,1434.661
1997-08-29,1355.207
1997-07-31,1419.351
1997-06-30,1314.21
1997-05-30,1265.82
1997-04-30,1191.109
1997-03-31,1148.066
1997-02-28,1188.767
1997-01-31,1180.184
1996-12-31,1128.186
1996-11-29,1146.955
1996-10-31,1065.449
1996-09-30,1030.563
1996-08-30,988.237
1996-07-31,961.687
1996-06-28,1004.046
1996-05-31,1008.916
1996-04-30,993.935
1996-03-29,983.918
1996-02-29,961.413
1996-01-31,952.483
1995-12-29,924.796
1995-11-30,899.856
1995-10-31,855.04
1995-09-29,868.565
1995-08-31,839.37
1995-07-31,832.261
1995-06-30,804.548
1995-05-31,798.486
1995-04-28,764.473
1995-03-31,740.107
1995-02-28,720.248
1995-01-31,693.34
1994-12-30,675.058
1994-11-30,666.868
1994-10-31,695.03
1994-09-30,680.223
1994-08-31,705.058
1994-07-29,685.674
1994-06-30,663.237
1994-05-31,682.101
1994-04-29,670.998
1994-03-31,657.157
1994-02-28,685.344
1994-01-31,711.068
